"","job_titles","Position","Agency","Job.Category","Closes","job_descriptions","links"
"11","#SGUnitedJobs Planning Officer","#SGUnitedJobs Planning Officer","Ministry of Education","Education, International Relations, Policy Formulation, Research and Analysis","9 Oct 2020"," Job Description The Planning Division (PLD) plays both a leading and coordinating role in the formulation, review, and implementation of education policies to support MOE’s overall effort to bring out the best in every child and offer a student-centric, values-driven education. As a Planning Officer in PLD, you will play an active role in the formulation, review and implementation of key education policies and reforms to support MOE’s work in the general education space. Your key responsibilities include: • Formulating and reviewing cross-cutting education policies in areas such as language policies, structuring the education system (e.g. PSLE, remaking secondary education), school governance, compulsory education, supporting groups of interest (e.g. low progress students, youth-at-risk, gifted education), and sector development (e.g. pre-school, special education schools, student care centres)• Engaging and supporting MOE’s political heads and senior management on key policy proposals and speeches• Collaborating with MOE Divisions and/or government agencies to do ground-sensing, sense-making and analysis of qualitative and quantitative data to inform policy recommendations• Supporting key public and internal stakeholder communication and engagement platforms such as the annual Committee of Supply Debate and Work Plan Seminar• Engaging and enhancing education-related partnerships with foreign counterparts• Charting and coordinating Ministry-level strategic and corporate planning initiatives, while also working with other government agencies for whole-of-government coherence   Requirements • Good analytical skills and systems thinking• Possess interest/ passion in shaping our education system and curiosity to explore new ideas• Good writing, communication, interpersonal and collaborative skills, with the confidence to meaningfully engage with diverse stakeholders• A highly-motivated individual with willingness to take initiative• Able to work well in a team to achieve collective goals• Experience in the youth, education, or community sector and/or in policy-related work would be an advantage ","https://careers.pageuppeople.com/688/cwlive/en/job/545006/sgunitedjobs-planning-officer"
"12","#SGUnitedJobs Project Engineer #PublicService (6 to 12 months Temporary Contract)","#SGUnitedJobs Project Engineer #PublicService (6 to 12 months Temporary Contract)","Land Transport Authority","Engineering","8 Oct 2020"," You will manage the document review process, including collating comments from all reviewing parties and ensuring proper follow-up to the review comments. You will also manage the design, coding, installation, testing and commissioning process, including coordination with all stakeholders (contractors, site owners, end users). In addition, you are required to liaise with the contractors to monitor and update the programme and work schedule. You will also have to prepare regular project and test summary reports for progress reporting, manage the administrative activities of the project, including coordinating meetings, preparing meeting records and drafting letters for issuance. Requirements:• Tertiary qualification in Engineering or related discipline;• Proficient in programme planning software such as Microsoft Project; • Proficient in Microsoft Office; • Highly motivated and pro-active with the ability to work independently;• Ability to work as a team;• Good analytical and problem-solving skills;• Good written and verbal communication skills in English;• Be expected to travel regularly between office and sites;• Some experience in the area of InfoComm Technology system or Automatic Fare Collection system is preferred. ","https://careers.pageuppeople.com/688/cwlive/en/job/543963/sgunitedjobs-project-engineer-publicservice-6-to-12-months-temporary-contract"
"13","#SGUnitedJobs Assistant Engineer #PublicService (12 months Temporary Contract)","#SGUnitedJobs Assistant Engineer #PublicService (12 months Temporary Contract)","Land Transport Authority","Engineering","8 Oct 2020"," You will support on-site (local) QA/QC and testing work and produce technical documentation and reports; administrative/clerical support including the preparation of tender documents and drawings, design submissions, rolling stock modification works, and maintenance of rolling stock defects database Requirements• Diploma in any engineering discipline• Meticulous, proactive, and responsible• Pleasant personality and able to adapt easily• Willing to learn with a track record of diligence• Good overall computing proficiency including Microsoft Office ","https://careers.pageuppeople.com/688/cwlive/en/job/543964/sgunitedjobs-assistant-engineer-publicservice-12-months-temporary-contract"
"14","#SGUnitedJobs Executive Assistant #PublicService (12 months Temporary Contract)","#SGUnitedJobs Executive Assistant #PublicService (12 months Temporary Contract)","Land Transport Authority","Engineering","8 Oct 2020"," You will support the management in overall secretarial, administrative, finance, logistics, and project matters; support Division administrative tasks and initiatives Requirements• Diploma in any discipline• Meticulous, proactive, and responsible• Pleasant personality and able to adapt easily• Strong command of English will be a plus• Good overall computing proficiency including Microsoft Office ","https://careers.pageuppeople.com/688/cwlive/en/job/543965/sgunitedjobs-executive-assistant-publicservice-12-months-temporary-contract"
"15","#SGUnitedJobs Project Engineer #PublicService (12 months Temporary Contract)","#SGUnitedJobs Project Engineer #PublicService (12 months Temporary Contract)","Land Transport Authority","Engineering","8 Oct 2020"," You will manage the document review process, including collating comments from all reviewing parties and ensuring proper follow-up to the review comments. You will also be managing the design, installation, testing and commissioning process, including coordination with all stakeholders (contractors, site owners, end users). In addition, you will liaise with the contractors to monitor and update the programme and work schedule. You are required to prepare regular project and test summary reports for progress reporting and manage the administrative activities of the project. Requirements• Tertiary qualification in Information Technology or Electrical Engineering• At least 3 years of experience in dealing with contractors operator and other project staff• Strong communication skills, presentation skills and teamwork• Proficient in Microsoft Office (Outlook, Word, Excel and PowerPoint) for Windows ","https://careers.pageuppeople.com/688/cwlive/en/job/543971/sgunitedjobs-project-engineer-publicservice-12-months-temporary-contract"
"16","Manager, Partnership and Programmes","Manager, Partnership and Programmes","Istana","Public Relations/Corporate Communications/Psychology","15 Oct 2020"," Responsibilities The position will assist Head, Partnership and Programmes in the running of engagement programmes and activities of the President’s Office (PO).  The key areas of responsibilities include, but not limited to: Running public engagement programmes of PO, including working with President’s Challenge partners and other stakeholders. Sustaining community engagement programmes of PO. Maintain network of partners in PO’s outreach efforts with external stakeholders and volunteers. Oversee the running of the operation of the Istana Heritage Gallery, including working on programmes at the Gallery. Requirements The candidate should: Have relevant experience in managing partnership/community and outreach programmes. Have strong communication, interpersonal and organisational skills. Be attentive to details and able to multi-task. Shortlisted candidates will be notified within 2 weeks after the closing date. Successful candidate will be offered a two-year contract in the first instance. For enquiries, please email to istana_recruitment@istana.gov.sg ","https://careers.pageuppeople.com/688/cwlive/en/job/544970/manager-partnership-and-programmes"
"17","Assistant Manager / Manager, Exam Planning and Administration – 2-year Contract","Assistant Manager / Manager, Exam Planning and Administration – 2-year Contract","Singapore Examinations and Assessment Board","Education","8 Oct 2020"," Responsibilities Successful applicant will play an active role in the planning, administration, and smooth delivery of national examinations. He/she will oversee and manage the key processes in the conduct of national examinations. The key responsibilities include: - Plan and manage the schedule and resources for exam activities- Manage the end-to-end conduct of national examinations from scheduling to result release- Engage stakeholders and conduct briefings on national examinations matters- Manage business continuity in the event of emergency or irregularities- Review and enhance work processes, guidelines and procedures Requirements - At least two years’ of experience in administrative and/or operations-related work, preferably with supervisory experience- Strong analytical and problem solving skills- Innovative mindset- Meticulous - Positive working attitude with excellent interpersonal skills- Good knowledge in MS Office suite of applications- Effective spoken and written communication skills- Able to work independently and lead a team- Results-driven and possess high degree of integrity ","https://careers.pageuppeople.com/688/cwlive/en/job/504840/assistant-manager-manager-exam-planning-and-administration-2year-contract"
"18","Senior/ Regulatory Inspector, Tobacco Regulation Branch (Contract)","Senior/ Regulatory Inspector, Tobacco Regulation Branch (Contract)","Health Sciences Authority","Investigation, Others, Enforcement","12 Oct 2020"," Work Location: Tobacco Regulation Branch (HSA), 3 Biopolis Drive, Synapse Building, Singapore 138623   Responsibilities Investigate complaints and feedback on activities that contravene the Tobacco (Control of Advertisements and Sale) Act Management and coordination with enforcement officers on detected cases Management of seized products for detected cases Evaluation of Investigation papers for detected cases Management of pre-court process and to attend to queries from Legal on prosecution cases Participate in IT/system enhancement projects Any other assigned ad-hoc duties   Requirements Relevant working experience in an enforcement / investigation field preferred Experience in systems design and digitalising work processes would be advantageous Good communication (verbal and written) and interpersonal skills Strong organisational and time management skills Team player with sharp analytical skills Adaptable at both operations and staff work   For candidates who are interested, please apply online. Please note that only shortlisted candidates will be notified for interview. ","https://careers.pageuppeople.com/688/cwlive/en/job/537248/senior-regulatory-inspector-tobacco-regulation-branch-contract"
"19","Land Executive","Land Executive","Land Transport Authority","Others","8 Oct 2020"," You will assist to prepare CAD plans in dwg / dgn format and Microsoft Office software skills for LTA Projects. You will work closely with the officers-in-charge of the various projects to prepare CAD plans. You may be assigned to other duties as and when required. Requirements:• Diploma / NITEC in Land Surveying or equivalent • At least 2 years of working experience in CAD matters• Competent with Microsoft Excel and other Microsoft Office applications• Good interpersonal and communication skills • Candidates with strong relevant years of experience will be considered for senior roles ","https://careers.pageuppeople.com/688/cwlive/en/job/537451/land-executive"
"20","Assistant Engineer (Road / Expressway / Tunnel / Bridge)","Assistant Engineer (Road / Expressway / Tunnel / Bridge)","Land Transport Authority","Engineering","8 Oct 2020"," You will assist the Engineer in the maintenance planning for road infrastructure assets (roads, expressways, tunnels, bridges and road related facilities).The scopes include:a. Managing the daily operation and maintenance of road infrastructure assets;b. Preparing and issuing work service order / instruction to contractors and consultants;c. Handling public feedback;d. Managing site matters / incidents;e. Formulating long term maintenance plan for all assets; andf. Conducting inspection audits.Requirements:• Diploma in Civil or Structural Engineering• Relevant experience in bridge or road design, construction, rehabilitation and maintenance, material testing will be added advantage;=• Good knowledge of construction materials such as asphalt, reinforced / pre-stressed concrete, steel etc are preferred• Strong analytical and communication skills • Good writing and interpersonal skills• Those without relevant working experience are also welcome to apply ","https://careers.pageuppeople.com/688/cwlive/en/job/538122/assistant-engineer-road-expressway-tunnel-bridge"
"21","Senior Engineer/ Engineer, InfoComm Infrastructure","Senior Engineer/ Engineer, InfoComm Infrastructure","Defence Science and Technology Agency","InfoComm, Technology, New Media Communications, Engineering & Design & ICT","9 Oct 2020"," At DSTA, we develop leading-edge technological and engineering solutions for the defence and security of our nation. Look forward to comprehensive professional and personal development programmes, and grow in a collaborative and dynamic environment. Join us in the engineering, IT or the corporate domains to make an impact on the defence and security of the nation! Opportunity We are looking for an individual to join us in our Infocomm Infrastructure Programme Centre where you will lead, develop, design, implement and support infrastructure systems inclusive of enterprise cloud, data centre, network, optical and cellular transmission, security infra and mobility solutions.  The role will require you to: Scan and research technology landscape, identify and propose new solutions to support MINDEF/SAF digital workspace Participate in the design, tender & contract evaluation, systems integration and commissioning to the management of integrated information infrastructure and mobility solutions for MINDEF/SAF Direct and liaise with all relevant internal and external parties to ensure timely completion and implementation of project in line with customers' requirements, schedule and budget Requirements Tertiary qualification in Computer Engineering, Computer Science, Information Technology or equivalent Strong understanding of large scale computing solution Strong technical competency in infrastructure, cloud-based solution and microservice architecture Strong technical competency in IT trouble-shooting for operating systems, client servers and security areas Good knowledge of Information Systems security Good knowledge of Windows/LINUX Operating Systems, Microsoft Exchange, Virtualisation Technology, Client Technology and Data Analytic Knowledge in Data Centre design, build and operation Good communication and interpersonal skills Strong analytical skills, resourceful, meticulous and a team player Able to multi-task and work independently Thrive in a dynamic working environment ","https://careers.pageuppeople.com/688/cwlive/en/job/2000795/senior-engineer-engineer-infocomm-infrastructure"
"22","Executive/Senior Executive (SCD) - Contract","Executive/Senior Executive (SCD) - Contract","National Environment Agency","Administration Support","11 Oct 2020"," We are looking for an Executive/Senior Executive at the Sanitation and Compliance Division to assist in the following: Prepare and send letters to members of the public, including tracking the status/outcomes of the letters Correspond with members of the public, including replying to ad hoc enquiries Prepare write-ups, compile and prepare documents for weekly meetings, including liaising internally with colleagues Any other ad hoc administrative duties and paperwork such as data entry and filing Job requirements: Proficient in the use of Microsoft Excel and Microsoft Word Able to multi-task well Good interpersonal skills Strong sense of timeliness ","https://careers.pageuppeople.com/688/cwlive/en/job/545003/executivesenior-executive-scd-contract"
"23","Assistant Director/ Senior Manager/ Manager, Levy Rebate Administration Team (Work Pass Division) - Contract","Assistant Director/ Senior Manager/ Manager, Levy Rebate Administration Team (Work Pass Division) - Contract","Ministry of Manpower","Administration Support, InfoComm, Technology, New Media Communications, Policy Formulation, Customer Service, Public Service Leadership","18 Oct 2020"," You will oversee the administration of the support measures to help employers, including levy rebates and waivers.   Responsibilities:  Plan and implement workflows and processes, with the use of relevant data and technology, to support the administration of support schemes to meet policy objectives Review and recommend enhancements to policies, operational processes and customer communications Evaluate appeals that do not fall within policy parameters and provide expert advisory on support schemes Plan and implement appropriate compliance controls and audits Supervise and coach a small team of officers in daily operations including handling appeals and enquiries (for AD/Senior Manager)   Requirements: Possess tertiary qualifications in any field of study At least 3 years of relevant work experience (for Asst Director/Senior Manager) Excellent verbal and written communication skills Strong analytical skills and comfortable with figures Good MS Excel skills Knowledge of data analytics, Robotic Processing Automation (UiPath) or programming skills is advantageous, but not required Resourceful and enjoy working in a fast-paced environment Motivated to serve the public and stakeholders, and contribute to Singapore’s future ","https://careers.pageuppeople.com/688/cwlive/en/job/545009/assistant-director-senior-manager-manager-levy-rebate-administration-team-work-pass-division-contract"
"24","Senior Executive, , Levy Rebate Administration Team (Work Pass Division) - Contract","Senior Executive, , Levy Rebate Administration Team (Work Pass Division) - Contract","Ministry of Manpower","Accounting, Audit, Finance, Administration Support, Customer Service","18 Oct 2020"," Responsibilities:  Manage customer enquiries on support schemes Process appeals according to policy guidelines and put up recommendations for deviations Perform checks and audits Assist with administrative tasks such as case tracking, data mining, document verification, etc.   Requirements: Possess tertiary qualifications in any field of study Proficient in Microsoft Office including Word and Excel. Good verbal and written communication skills Meticulous and attentive to details Good team player Resourceful Motivated to serve the public and stakeholders, and contribute to Singapore’s future ","https://careers.pageuppeople.com/688/cwlive/en/job/545010/senior-executive-levy-rebate-administration-team-work-pass-division-contract"
"25","Deputy Director (Administration and Procurement Services)/Corporate Operations Division (1-Year Contract)","Deputy Director (Administration and Procurement Services)/Corporate Operations Division (1-Year Contract)","Ministry of Trade and Industry","Administration Support, Building and Estate Management, Occupational Safety and Health","11 Oct 2020"," ResponsibilitiesThe officer will spearhead and implement initiatives in the provision of corporate services, business continuity planning and incident reporting framework as follows:   Procurement Review MTI HQ’s procurement policies and implementation Provide advisory services for MTI HQ, DOS and MTI’s Statutory Boards (SBs) for high value tenders   Facilities and Infrastructure Oversee MTI HQ’s infrastructure projects Ensure compliance with Office Space Management Framework (OSMF) for MTI HQ and SBs Oversee MTI HQ’s facilities management and fixed asset management   Safety and Security Oversee MTI HQ’s security and safety management matters Work with MTI’s SBs on infrastructure protection Oversee MTI’s Business Continuity Plan   Other Corporate Support Services Oversee MTI’s ISO 9001:2015 Quality Management System and its annual audits Support MTI Committee of Supply (COS) in administrative matters Oversee MTI Documentation and Registry Coordinate the Parliamentary Questions management process RequirementsAn ideal candidate should have: At least 5 years of relevant work experience, with at least 3 years of supervisory experience managing and coaching teams Good communication and interpersonal skills with the ability to engage people at all levels Ability to conceptualise and articulate policies, as well as translating  strategies to operational practices Good prioritisation skills and excellent drive to achieve outcomes Good people management skills Shortlisted candidates will be notified within 2 weeks of the closing date of the advertisement. ","https://careers.pageuppeople.com/688/cwlive/en/job/545011/deputy-director-administration-and-procurement-servicescorporate-operations-division-1year-contract"
"26","Senior Manager/Manager, Operations Policy and Planning (FMMD) - Contract","Senior Manager/Manager, Operations Policy and Planning (FMMD) - Contract","Ministry of Manpower","Administration Support, Policy Formulation, Customer Service, Enforcement, Statistics","18 Oct 2020"," Responsibilities: As a member of the Repatriation Operations Policy and Planning team, you are responsible for policy developments and reviews, secretariat duties and admin support to the flight and data teams. The job entails Developing and reviewing repatriation ops policies. Performing secretariat duties to provide timely updates and reports. Supporting IT needs, procurement and budget management and other matters supporting the repatriation operations.   Requirements: At least 3 years of relevant work experience in policy/corporate/strategic planning Inquisitive mind, meticulous with strong analytical and critical thinking skills Excellent written, communication, presentation and facilitation skills Excellent interpersonal skills Good team player who is proactive ","https://careers.pageuppeople.com/688/cwlive/en/job/545012/senior-managermanager-operations-policy-and-planning-fmmd-contract"
"27","Senior Manager/Manager, Flight Facilitation (FMMD) - Contract","Senior Manager/Manager, Flight Facilitation (FMMD) - Contract","Ministry of Manpower","Others, Customer Service, Enforcement","18 Oct 2020"," Responsibilities:  Manage country-specific repatriation matters Work with representatives from government agencies, embassies, airlines and partners on repatriation operations Track, review and provide regular updates on the repatriation status for each flight Officer will develop strong project management skills. He/She will have the opportunity to plan, design and develop, implement, monitor and evaluate the various projects that he/ she is tasked to be in charge of. Officer will understand firsthand, the complex processes of a repatriation flight, including mounting of a flight, coordinating the flight manifest and working across multiple agencies / stakeholders.   Requirements: >3 years of relevant experience in project management and stakeholder management. Experience in airline/travel industry will be an added advantage. Good communication and interpersonal skills with the ability to work across organizational lines, liaise, negotiate and provide constructive feedback to both internal and external stakeholders Excellent English language skills Comfortable in making presentations to different stakeholders at short notice Officer must be self-motivated, confident, meticulous, able to think quickly and make decisions on the ground, and able to work under pressure Proficient in EXCEL and other Microsoft Office software ","https://careers.pageuppeople.com/688/cwlive/en/job/545014/senior-managermanager-flight-facilitation-fmmd-contract"
"28","Senior Manager/Manager, Data Management (FMMD) - Contract","Senior Manager/Manager, Data Management (FMMD) - Contract","Ministry of Manpower","Administration Support, InfoComm, Technology, New Media Communications, Others, Customer Service, Statistics","18 Oct 2020"," Responsibilities:  a) Support in the maintenance of up-to-date databases of workers with repatriation needs: Merge, clean and update multiple administrative databases in a timely manner. Collaborate with teams and departments to promptly send home workers with compassionate reasons. Conduct data checks using data tools such as PowerBI and EXCEL macros/vlookup b) Ensure timely reporting of flight demand and ad-hoc data requests to support operations c) Actively provide feedback and process improvements for data collection, processing and dissemination.   Requirements:  Relevant experience in working with administrative databases and across multiple data sources. Independent and meticulous, with strong data sense Experience or certifications in data tools such as Power BI or RPA language is an added advantage Good interpersonal and communication skills. Able to connect with people and understand their needs. Quick to adapt, able to multitask and work in fast paced environment. Proficient in advanced EXCEL skills such as VBA Macro is an added advantage ","https://careers.pageuppeople.com/688/cwlive/en/job/545015/senior-managermanager-data-management-fmmd-contract"
